Pune,Rainy,Bagayat or irrigated land,Sunny,20-30,Sugercane
Pune,Rainy,Bagayat or irrigated land,Overcast,20-30,Sugercane
Pune,Rainy,Bagayat or irrigated land,Cloudy,20-30,Sugercane
Nashik,Rainy,Bagayat or irrigated land,Sunny,20-30,Sugercane
Nashik,Rainy,Bagayat or irrigated land,Overcast,20-30,Sugercane
Nashik,Rainy,Bagayat or irrigated land,Cloudy,30-40,Sugercane
Sangali,Rainy,Bagayat or irrigated land,Sunny,20-30,Sugercane
Sangali,Rainy,Bagayat or irrigated land,Overcast,30-40,Sugercane
Sangali,Rainy,Bagayat or irrigated land,Cloudy,20-30,Sugercane
Sangali,Rainy,Bagayat or irrigated land,Cloudy,20-30,Sugercane
Pune,Winter,Bagayat or irrigated land,Cloudy,20-30,Sugercane
Pune,Winter,Bagayat or irrigated land,Sunny,20-30,Sugercane
Pune,Winter,Bagayat or irrigated land,Overcast,20-30,Sugercane
Sangali,Winter,Bagayat or irrigated land,Sunny,20-30,Sugercane
Sangali,Winter,Bagayat or irrigated land,Overcast,20-30,Sugercane
Sangali,Winter,Bagayat or irrigated land,Cloudy,20-30,Sugercane
